,id,orig,dest,all,male,female,a16,a25,a35,a50,a65,home,train,bus,car,pass,bicycle,walk,other
21335,638821,E02001078,E02001184,55,37,18,5,25,16,8,1,0,3,8,41,2,1,0,0
21336,642044,E02001085,E02006917,55,34,21,8,23,17,6,1,0,6,29,13,4,1,0,2
21337,642104,E02001086,E02001063,55,26,29,3,20,25,7,0,0,0,22,27,1,5,0,0
21338,642428,E02001086,E02006914,55,29,26,3,27,12,12,1,0,2,31,14,1,6,1,0
21339,643509,E02001089,E02001200,55,29,26,13,9,20,13,0,0,3,14,29,5,4,0,0
21340,644337,E02001091,E02001261,55,32,23,8,16,17,13,1,0,4,8,35,2,4,1,1
21341,645563,E02001094,E02006902,55,24,31,16,21,10,8,0,0,0,32,15,4,2,1,1
21342,627310,E02001045,E02001062,56,36,20,7,8,16,21,4,0,1,10,35,3,1,3,3
21343,630947,E02001056,E02001061,56,26,30,8,8,21,17,2,0,0,8,27,3,3,8,7
21344,631661,E02001059,E02001064,56,28,28,10,12,26,8,0,0,0,9,27,2,6,12,0
21345,632314,E02001061,E02006917,56,23,33,10,27,12,7,0,0,8,31,15,0,0,2,0
21346,636087,E02001071,E02006914,56,41,15,5,19,25,6,1,0,2,30,12,4,5,3,0
21347,637065,E02001074,E02001079,56,16,40,4,14,25,13,0,0,0,7,25,6,2,16,0
21348,639087,E02001078,E02006914,56,21,35,4,25,20,7,0,0,3,28,17,2,2,2,2
21349,640149,E02001081,E02001260,56,28,28,9,21,17,9,0,0,0,7,40,3,6,0,0
21350,640522,E02001082,E02001184,56,32,24,9,36,8,1,2,0,5,7,38,1,4,1,0
21351,642233,E02001086,E02001260,56,31,25,10,24,16,5,1,0,0,11,41,0,4,0,0
21352,643018,E02001088,E02001062,56,31,25,8,14,14,19,1,0,0,12,36,3,2,3,0
21353,643149,E02001088,E02001261,56,31,25,5,24,18,9,0,0,2,6,43,1,1,3,0
21354,643826,E02001090,E02001066,56,15,41,3,17,16,19,1,0,0,24,28,2,2,0,0
21355,644740,E02001092,E02001273,56,21,35,16,20,11,6,3,0,1,14,28,5,3,5,0
21356,645256,E02001093,E02006917,56,22,34,8,27,11,9,1,0,3,24,22,6,0,1,0
21357,645758,E02001095,E02001283,56,21,35,14,17,7,17,1,0,0,15,34,2,2,3,0
21358,627303,E02001045,E02001052,57,15,42,10,7,21,18,1,0,0,19,26,2,2,4,4
21359,627404,E02001045,E02001184,57,31,26,6,14,24,13,0,0,5,13,36,1,1,0,1
21360,627585,E02001045,E02006913,57,29,28,15,7,22,12,1,0,0,17,34,2,1,1,2
21361,627643,E02001046,E02001047,57,10,47,1,14,28,12,2,0,0,8,24,0,1,24,0
21362,628017,E02001047,E02001052,57,28,29,11,9,22,14,1,0,2,12,30,4,1,4,4
21363,631800,E02001059,E02001260,57,37,20,14,20,13,8,2,0,0,19,34,1,2,0,1
21364,634928,E02001069,E02001076,57,35,22,22,14,18,3,0,0,2,16,10,0,5,21,3
21365,635053,E02001069,E02001261,57,36,21,33,20,2,2,0,0,3,40,9,0,4,1,0
21366,635765,E02001071,E02001063,57,19,38,7,23,19,8,0,0,1,21,22,3,3,6,1
21367,640022,E02001081,E02001077,57,22,35,7,8,30,10,2,0,0,7,13,1,4,32,0
21368,644634,E02001092,E02001096,57,28,29,8,25,16,8,0,0,0,11,39,3,1,3,0
21369,646143,E02001096,E02003856,57,27,30,5,20,18,12,2,0,1,5,35,8,6,1,1
21370,2447338,E02006913,E02001062,57,40,17,11,25,13,8,0,0,0,20,17,2,3,15,0
21371,2447796,E02006914,E02001260,57,32,25,34,16,4,3,0,0,1,39,14,1,2,0,0
21372,627589,E02001045,E02006917,58,25,33,10,17,18,13,0,0,4,22,24,4,2,2,0
21373,629840,E02001051,E02006917,58,12,46,15,19,20,4,0,0,0,28,17,8,0,4,1
21374,631397,E02001057,E02001260,58,39,19,23,23,7,5,0,0,0,22,26,2,5,1,2
21375,634732,E02001068,E02001260,58,38,20,17,28,11,2,0,0,0,29,25,0,2,2,0
21376,636241,E02001072,E02001178,58,35,23,3,26,18,9,2,0,1,20,19,2,12,2,2
21377,636586,E02001073,E02001082,58,22,36,4,15,25,10,4,0,0,16,30,1,8,2,1
21378,637069,E02001074,E02001083,58,21,37,5,19,21,12,1,0,0,14,33,4,1,4,2
21379,638369,E02001077,E02001178,58,25,33,2,13,30,13,0,0,1,14,35,0,7,0,1
21380,642666,E02001087,E02001260,58,27,31,17,28,8,4,1,0,0,15,37,1,3,2,0
21381,2447422,E02006913,E02001184,58,43,15,15,33,6,3,1,0,18,10,22,4,2,2,0
21382,627383,E02001045,E02001155,59,24,35,9,15,12,21,2,0,0,21,31,3,0,3,1
21383,635858,E02001071,E02001192,59,39,20,6,18,22,10,3,0,0,14,27,8,3,6,1
21384,636719,E02001073,E02001259,59,31,28,1,22,28,7,1,0,1,6,40,4,2,5,1
21385,640366,E02001081,E02006914,59,26,33,3,32,21,3,0,0,0,26,21,3,8,1,0
21386,642181,E02001086,E02001184,59,27,32,4,29,17,9,0,0,5,5,41,3,2,1,2
21387,643158,E02001088,E02001270,59,31,28,4,22,19,11,3,0,1,12,35,5,4,1,1
21388,644749,E02001092,E02001282,59,30,29,15,21,15,5,3,0,0,16,35,3,2,2,1
21389,2446861,E02006912,E02001066,59,26,33,6,43,7,3,0,0,0,27,6,0,6,19,1
21390,2448532,E02006916,E02001261,59,30,29,15,36,4,4,0,0,7,10,17,3,6,15,1
21391,2448802,E02006917,E02001066,59,26,33,9,41,5,4,0,0,0,14,22,1,5,15,2
21392,2448875,E02006917,E02001178,59,33,26,5,32,17,5,0,0,5,1,10,1,0,42,0
21393,634280,E02001067,E02001059,60,32,28,13,8,26,9,4,0,1,18,29,1,4,5,2
21394,636296,E02001072,E02001264,60,35,25,7,25,25,3,0,0,0,10,30,4,9,5,2
21395,640011,E02001081,E02001066,60,18,42,2,21,24,12,1,0,0,13,37,1,7,1,1
21396,628011,E02001047,E02001046,61,19,42,8,6,27,17,3,0,0,7,30,7,1,14,2
21397,630548,E02001053,E02006917,61,30,31,9,29,13,10,0,0,1,32,18,3,0,6,1
21398,631349,E02001057,E02001184,61,36,25,13,28,13,6,1,0,22,13,20,2,4,0,0
21399,636724,E02001073,E02001264,61,41,20,3,29,21,7,1,0,0,7,33,4,12,5,0
21400,637450,E02001075,E02001063,61,27,34,8,17,28,8,0,0,2,27,21,1,6,3,1
21401,637541,E02001075,E02001192,61,36,25,6,17,20,18,0,0,0,14,27,3,0,16,1
21402,637844,E02001076,E02001089,61,29,32,37,16,5,3,0,0,0,34,19,0,2,6,0
21403,640040,E02001081,E02001095,61,15,46,3,24,19,15,0,0,0,2,51,3,4,1,0
21404,628069,E02001047,E02001112,62,44,18,5,15,29,9,4,0,0,6,36,2,7,9,2
21405,629543,E02001051,E02001049,62,12,50,5,10,19,27,1,0,0,8,34,4,1,13,2
21406,637055,E02001074,E02001069,62,24,38,5,17,22,15,3,0,0,6,34,4,2,16,0
21407,639496,E02001079,E02006914,62,26,36,17,18,17,9,1,0,0,41,19,1,1,0,0
21408,643022,E02001088,E02001066,62,23,39,4,33,18,6,1,0,0,18,35,7,2,0,0
21409,627655,E02001046,E02001062,63,45,18,8,16,21,18,0,0,0,21,37,1,2,2,0
21410,632377,E02001062,E02001063,63,35,28,19,21,20,2,1,0,0,7,18,2,3,33,0
21411,632857,E02001063,E02001261,63,35,28,33,16,11,3,0,0,2,43,11,0,2,5,0
21412,633147,E02001064,E02001059,63,39,24,9,11,21,20,2,0,0,13,21,5,5,14,5
21413,634217,E02001066,E02006914,63,35,28,27,24,10,2,0,0,1,28,3,0,11,18,2
21414,638426,E02001077,E02001261,63,26,37,16,20,16,8,3,0,1,6,35,1,6,13,1
